instance,config,objective,bound,gap_pct,time_s,bb_nodes,total_cuts,cut_rounds,status,stderr_tail
E-n76-k7-44,COMBI,-21690.0,-21690.0,0.0,14.155543688,25,976,116,ok,
G-n262-k25-316,SIMDI,-1174017.0,-1439970.0,0.226532494844623,60.222341008,0,1210,121,ok,
G-n262-k25-316,PAIRS,-1174017.0,-1444299.0,0.230219834976836,60.032067668,0,1090,109,ok,
G-n262-k25-316,GENDI,-1174017.0,-1439628.0,0.226241187308191,60.030031846,0,1220,122,ok,
G-n262-k25-316,COMBI,-1174017.0,-1439119.0,0.225807633109231,60.153448454,0,1240,124,ok,
M-n101-k10-97,SIMDI,-32628.0,-32628.0,0.0,36.124200661,441,2130,234,ok,
M-n101-k10-97,PAIRS,-30628.0,-30628.0,0.0,39.491225489,688,1863,211,ok,
M-n101-k10-97,GENDI,-31306.0,-35116.0,0.121701910176961,60.037756359,1021,1703,199,ok,
M-n101-k10-97,COMBI,-30918.0,-40493.0,0.309690148133774,60.050317927,764,1729,189,ok,
M-n121-k7-260,SIMDI,-94433.0,-188144.0,0.992354367646903,60.049247111,18,1775,188,ok,
M-n121-k7-260,PAIRS,-94433.0,-188144.0,0.992354367646903,60.036415539,17,1775,188,ok,
M-n121-k7-260,GENDI,-94433.0,-188144.0,0.992354367646903,60.035726299,13,1775,188,ok,
M-n121-k7-260,COMBI,-94433.0,-188144.0,0.992354367646903,60.085929189,11,1775,188,ok,
M-n151-k12-15,SIMDI,-65193.0,-100215.0,0.537204914638075,60.110412461,201,1510,165,ok,
M-n151-k12-15,PAIRS,-65193.0,-100146.0,0.53614651879803,60.850798579,203,1540,168,ok,
M-n151-k12-15,GENDI,-65193.0,-100146.0,0.53614651879803,60.128339844,153,1160,130,ok,
M-n151-k12-15,COMBI,-65193.0,-100146.0,0.53614651879803,60.083521795,149,1160,130,ok,
M-n200-k16-143,SIMDI,-198792.0,-198792.0,0.0,20.650934641,1,983,102,ok,
M-n200-k16-143,PAIRS,-198792.0,-198792.0,0.0,27.146054113,1,983,102,ok,
M-n200-k16-143,GENDI,-198792.0,-198792.0,0.0,20.202524448,1,983,102,ok,
M-n200-k16-143,COMBI,-198792.0,-198792.0,0.0,21.355500359,1,983,102,ok,
M-n200-k17-12,SIMDI,-31146.0,-133358.0,3.28170551595688,60.053757919,102,1550,169,ok,
M-n200-k17-12,PAIRS,-31146.0,-133212.0,3.27701791562321,60.042582625,102,1570,171,ok,
M-n200-k17-12,GENDI,,,,60.122329387,27,1375,148,ok,
M-n200-k17-12,COMBI,,,,60.150198006,30,1375,148,ok,
P-n101-k4-174,SIMDI,-17702.0,-17702.0,0.0,32.717835047,122,1200,143,ok,
P-n101-k4-174,PAIRS,-17702.0,-17702.0,0.0,38.532623962,117,1125,134,ok,
P-n101-k4-174,GENDI,-17702.0,-17702.0,0.0,39.497746981,118,1130,136,ok,
P-n101-k4-174,COMBI,-17165.0,-17165.0,0.0,36.358313729,116,1200,139,ok,
P-n50-k10-24,SIMDI,-2965.0,-2965.0,0.0,23.185235857,297,1133,214,ok,
P-n50-k10-24,PAIRS,-2965.0,-2965.0,0.0,22.594141159,281,1081,192,ok,
P-n50-k10-24,GENDI,-2965.0,-2965.0,0.0,38.414772014,826,1220,212,ok,
P-n50-k10-24,COMBI,-1539.0,-1539.0,0.0,29.633059074,651,1098,194,ok,
P-n50-k7-92,SIMDI,-2.0,-2.0,0.0,32.067383278,995,2105,310,ok,
P-n50-k7-92,PAIRS,-2.0,-2.0,0.0,25.127951387,873,1845,276,ok,
P-n50-k7-92,GENDI,-2.0,-2.0,0.0,46.205132649,1182,1758,317,ok,
P-n50-k7-92,COMBI,-2.0,-2.0,0.0,26.523718964,892,1438,212,ok,
P-n50-k8-19,SIMDI,-83307.0,-83307.0,0.0,2.594669488,19,550,69,ok,
P-n50-k8-19,PAIRS,-83307.0,-83307.0,0.0,2.620145621,17,550,69,ok,
P-n50-k8-19,GENDI,-83307.0,-83307.0,0.0,3.004703849,21,550,69,ok,
P-n50-k8-19,COMBI,-83307.0,-83307.0,0.0,3.178178748,23,550,69,ok,
P-n51-k10-30,SIMDI,-2.0,-2.0,0.0,40.239370652,1409,2218,373,ok,
P-n51-k10-30,PAIRS,-2.0,-2.0,0.0,37.996548407,1533,2179,363,ok,
P-n51-k10-30,GENDI,-2.0,-8735.0,4366.5,60.005961535,1981,1639,293,ok,
P-n51-k10-30,COMBI,-2.0,-2.0,0.0,40.64673254,1275,1745,297,ok,
P-n55-k10-44,SIMDI,-1090.0,-1090.0,0.0,41.626226918,1025,2456,378,ok,
P-n55-k10-44,PAIRS,-1090.0,-1090.0,0.0,35.513744143,851,2588,360,ok,
P-n55-k10-44,GENDI,-1.0,-6869.0,6867.99976697989,60.016437038,1441,1746,325,ok,
P-n55-k10-44,COMBI,-1.0,-1.0,0.0,45.267869435,846,1374,221,ok,
P-n55-k15-88,SIMDI,-2.0,-13901.0,6949.50000005057,60.018250295,1566,967,257,ok,
P-n55-k15-88,PAIRS,-2.0,-12319.0,6158.49999986555,60.004410739,964,909,207,ok,
P-n55-k15-88,GENDI,-1.0,-15783.0,15781.9998857155,60.019317004,1209,870,189,ok,
P-n55-k15-88,COMBI,-2.0,-15704.0,7851.00000527231,60.017268716,1153,795,200,ok,
P-n55-k7-116,SIMDI,-17824.0,-17824.0,0.0,6.555286076,19,655,97,ok,
P-n55-k7-116,PAIRS,-17824.0,-17824.0,0.0,7.445193379,19,652,98,ok,
P-n55-k7-116,GENDI,-17824.0,-17824.0,0.0,7.044269536,17,648,96,ok,
P-n55-k7-116,COMBI,-17824.0,-17824.0,0.0,6.995089545,17,655,97,ok,
P-n55-k8-260,SIMDI,-3573.0,-3573.0,0.0,23.142870069,315,1114,149,ok,
P-n55-k8-260,PAIRS,-3573.0,-3573.0,0.0,25.022641013,321,1280,180,ok,
P-n55-k8-260,GENDI,-3123.0,-3123.0,0.0,41.789096194,888,1332,236,ok,
P-n55-k8-260,COMBI,-3573.0,-3573.0,0.0,22.546713322,207,605,92,ok,
P-n60-k10-24,SIMDI,-15001.0,-15001.0,0.0,7.044025466,34,612,94,ok,
P-n60-k10-24,PAIRS,-15001.0,-15001.0,0.0,6.443358461,28,611,95,ok,
P-n60-k10-24,GENDI,-15001.0,-15001.0,0.0,5.994195053,31,605,81,ok,
P-n60-k10-24,COMBI,-15001.0,-15001.0,0.0,5.818731049,29,605,81,ok,
P-n60-k15-8,SIMDI,-534.0,-534.0,0.0,50.131834556,916,1477,299,ok,
P-n60-k15-8,PAIRS,-534.0,-534.0,0.0,45.652710595,843,1597,349,ok,
P-n60-k15-8,GENDI,-534.0,-10029.0,17.7808988763919,60.023578093,795,1017,206,ok,
P-n60-k15-8,COMBI,-486.0,-9545.0,18.6399176954733,60.009135031,1069,990,192,ok,
P-n65-k10-102,SIMDI,-3.0,-3571.0,1189.33333331457,60.007121632,1754,2835,425,ok,
P-n65-k10-102,PAIRS,-3.0,-3.0,0.0,58.497825016,1846,4619,640,ok,
P-n65-k10-102,GENDI,-3.0,-8825.0,2940.66666666132,60.063190463,1041,1305,199,ok,
P-n65-k10-102,COMBI,-3.0,-3.0,0.0,53.244565114,1016,1713,270,ok,
P-n70-k10-12,SIMDI,-70317.0,-70317.0,0.0,2.204990306,1,636,73,ok,
P-n70-k10-12,PAIRS,-70317.0,-70317.0,0.0,2.223668505,1,636,73,ok,
P-n70-k10-12,GENDI,-70317.0,-70317.0,0.0,2.203981106,1,636,73,ok,
P-n70-k10-12,COMBI,-70317.0,-70317.0,0.0,2.437706408,1,636,73,ok,
P-n76-k4-41,SIMDI,-88276.0,-88276.0,0.0,25.510537375,139,1370,152,ok,
P-n76-k4-41,PAIRS,-88276.0,-88276.0,0.0,27.588545968,202,1500,164,ok,
P-n76-k4-41,GENDI,-88276.0,-88276.0,0.0,36.849953179,217,1380,152,ok,
P-n76-k4-41,COMBI,-88276.0,-88276.0,0.0,27.996396458,209,1330,148,ok,
P-n76-k5-16,SIMDI,-107633.0,-107633.0,0.0,2.305996008,1,570,62,ok,
P-n76-k5-16,PAIRS,-107633.0,-107633.0,0.0,2.487565716,1,570,62,ok,
P-n76-k5-16,GENDI,-107633.0,-107633.0,0.0,2.534150416,1,570,62,ok,
P-n76-k5-16,COMBI,-107633.0,-107633.0,0.0,2.544726102,1,570,62,ok,
